CATALOG_ID|CATALOG_CID|CATALOG_NAME|CATGROUP_ID_PATH|CATGROUP_CID_PATH|CATGROUP_NAME_PATH|CATGROUP_ID_CHILD|CATGROUP_CID_CHILD|CATGROUP_NAME_CHILD|CATGROUP_ID_PARENT|CATGROUP_CID_PARENT|CATGROUP_NAME_PARENT|CATGROUP_ID_TOP|CATGROUP_CID_TOP|CATGROUP_NAME_TOP|LEVEL
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013179/1013477|/12/215/1945|/Food & Grocery/Food Storage/Plastic Bags & Paper Bags|1013477|1945|Plastic Bags & Paper Bags|1013179|215|Food Storage|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013167/1013480|/12/227/2102|/Food & Grocery/Produce/Packaged Salad|1013480|2102|Packaged Salad|1013167|227|Produce|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013024/1013484|/23/381/3434|/Toys & Games/Outdoor Play/Water Toys|1013484|3434|Water Toys|1013024|381|Outdoor Play|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013008/1013372/1013487|/1/43/609|/Appliances/Small Kitchen Appliances/Entertaining|1013487|609|Entertaining|1013372|43|Small Kitchen Appliances|1013008|1|Appliances|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013409/1013495|/16/285/2502|/Jewelry/Childrens Jewelry/Fashion Watches|1013495|2502|Fashion Watches|1013409|285|Childrens Jewelry|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013080/1013497|/22/355/3153|/Tools/Hand Tools/Bolt Cutters|1013497|3153|Bolt Cutters|1013080|355|Hand Tools|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013226/1013499|/12/205/1806|/Food & Grocery/Baking Supplies/Baking Chocolate & Chips|1013499|1806|Baking Chocolate & Chips|1013226|205|Baking Supplies|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013264/1013598|/12/212/1922|/Food & Grocery/Dairy/Soft Cheese|1013598|1922|Soft Cheese|1013264|212|Dairy|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013399/1013607|/15/281/2471|/Home Services/Repair & Maintenance/Televisions|1013607|2471|Televisions|1013399|281|Repair & Maintenance|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013186/1013530|/23/383/3447|/Toys & Games/Pretend Play & Dress Up/Glamour & Jewelry|1013530|3447|Glamour & Jewelry|1013186|383|Pretend Play & Dress Up|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013016/1013317/1013539|/3/68/757|/Baby/Diapering/Cloth Diapers|1013539|757|Cloth Diapers|1013317|68|Diapering|1013016|3|Baby|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013110/1013542|/16/288/2528|/Jewelry/Fashion Jewelry/Rings|1013542|2528|Rings|1013110|288|Fashion Jewelry|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013045/1013546|/12/210/1893|/Food & Grocery/Cleaning Supplies/Furniture Dusting & Polishes|1013546|1893|Furniture Dusting & Polishes|1013045|210|Cleaning Supplies|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013034/1013548|/12/222/2051|/Food & Grocery/Meat/Pork|1013548|2051|Pork|1013034|222|Meat|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013046/1013563|/15/279/2439|/Home Services/Lawn & Garden Equipment/Tractors|1013563|2439|Tractors|1013046|279|Lawn & Garden Equipment|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013378/1013565|/16/301/2634|/Jewelry/Watches/Mens|1013565|2634|Mens|1013378|301|Watches|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013433/1013569|/12/207/1849|/Food & Grocery/Bread & Bakery/Cakes & Pies|1013569|1849|Cakes & Pies|1013433|207|Bread & Bakery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013572|/12/217/1981|/Food & Grocery/General Grocery/Macaroni & Cheese|1013572|1981|Macaroni & Cheese|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013386/1013574|/12/229/2128|/Food & Grocery/Snacks/Potato Chips|1013574|2128|Potato Chips|1013386|229|Snacks|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/80011/1200000249/1013586|/25/400/1403|/zz_Do_Not_Use/Computers & Electronics/Do Not Use - Converters|1013586|1403|Do Not Use - Converters|1200000249|400|Computers & Electronics|80011|25|zz_Do_Not_Use|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013016/1013056/1013587|/3/63/724|/Baby/Baby Gear & Travel/Travel Accessories|1013587|724|Travel Accessories|1013056|63|Baby Gear & Travel|1013016|3|Baby|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1214844963/1013590|/16/431110/2550|/Jewelry/Sets/Gold Jewelry Sets|1013590|2550|Gold Jewelry Sets|1214844963|431110|Sets|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013399/1013614|/15/281/2476|/Home Services/Repair & Maintenance/Water Heaters & Treatment Systems|1013614|2476|Water Heaters & Treatment Systems|1013399|281|Repair & Maintenance|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013333/1013620|/12/206/1836|/Food & Grocery/Beverages/Powdered Drink Mixes|1013620|1836|Powdered Drink Mixes|1013333|206|Beverages|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1012998/1013267/1013636|/8/130/1263|/Computers & Electronics/Car Electronics/Car Speakers|1013636|1263|Car Speakers|1013267|130|Car Electronics|1012998|8|Computers & Electronics|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013312/1013640|/15/270/2378|/Home Services/Appliances/Vacuums|1013640|2378|Vacuums|1013312|270|Appliances|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013178/1013648|/12/226/2081|/Food & Grocery/Prepared Foods/Chicken|1013648|2081|Chicken|1013178|226|Prepared Foods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013401/1013652|/23/382/3439|/Toys & Games/Pools & Accessories/Pool Liners|1013652|3439|Pool Liners|1013401|382|Pools & Accessories|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013008/1013372/1013655|/1/43/612|/Appliances/Small Kitchen Appliances/Griddles & Grills|1013655|612|Griddles & Grills|1013372|43|Small Kitchen Appliances|1013008|1|Appliances|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013409/1013664|/16/285/2505|/Jewelry/Childrens Jewelry/Rings|1013664|2505|Rings|1013409|285|Childrens Jewelry|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013416/1013670|/12/220/2032|/Food & Grocery/Gum & Candy/Sugar-Free Candy|1013670|2032|Sugar-Free Candy|1013416|220|Gum & Candy|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1012998/1013133/1013681|/8/144/1395|/Computers & Electronics/Portable Electronics/Portable CD Players|1013681|1395|Portable CD Players|1013133|144|Portable Electronics|1012998|8|Computers & Electronics|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013075/1013684|/15/277/2403|/Home Services/Home Interior/Countertops|1013684|2403|Countertops|1013075|277|Home Interior|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1215165038/1013686|/16/433710/2608|/Jewelry/Anklets & Toe Rings/Sterling Silver Anklets & Toe Rings|1013686|2608|Sterling Silver Anklets & Toe Rings|1215165038|433710|Anklets & Toe Rings|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013006/1013355/1013689|/17/311/2723|/Lawn & Garden/Outdoor Tools & Supplies/Fertilizers, Weed Control & Soil|1013689|2723|Fertilizers, Weed Control & Soil|1013355|311|Outdoor Tools & Supplies|1013006|17|Lawn & Garden|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013693|/12/217/1975|/Food & Grocery/General Grocery/Dry Beans|1013693|1975|Dry Beans|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013074/1013717|/12/224/2069|/Food & Grocery/Paper Goods/Napkins|1013717|2069|Napkins|1013074|224|Paper Goods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013399/1013731|/15/281/2447|/Home Services/Repair & Maintenance/Compactors|1013731|2447|Compactors|1013399|281|Repair & Maintenance|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013090/1013733|/16/298/2642|/Jewelry/Rings/Bridal Sets|1013733|2642|Bridal Sets|1013090|298|Rings|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013433/1013737|/12/207/1853|/Food & Grocery/Bread & Bakery/English Muffins|1013737|1853|English Muffins|1013433|207|Bread & Bakery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013740|/12/217/1984|/Food & Grocery/General Grocery/Mustard|1013740|1984|Mustard|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013386/1013742|/12/229/2132|/Food & Grocery/Snacks/Snack Mixes|1013742|2132|Snack Mixes|1013386|229|Snacks|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013016/1013056/1013755|/3/63/719|/Baby/Baby Gear & Travel/Car Seats|1013755|719|Car Seats|1013056|63|Baby Gear & Travel|1013016|3|Baby|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013312/1013757|/15/270/2362|/Home Services/Appliances/Air Conditioners (Window Unit)|1013757|2362|Air Conditioners (Window Unit)|1013312|270|Appliances|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013157/1013764|/23/380/3426|/Toys & Games/Musical Instruments & Toys/Percussion|1013764|3426|Percussion|1013157|380|Musical Instruments & Toys|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013337/1013779|/16/292/2553|/Jewelry/Jewelry Boxes & Jewelry Care/Armoires|1013779|2553|Armoires|1013337|292|Jewelry Boxes & Jewelry Care|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013786|/12/217/2002|/Food & Grocery/General Grocery/Vinegar|1013786|2002|Vinegar|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013128/1013790|/23/377/3390|/Toys & Games/Dolls & Accessories/Barbies & Fashion Dolls|1013790|3390|Barbies & Fashion Dolls|1013128|377|Dolls & Accessories|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013386/1013695|/12/229/2115|/Food & Grocery/Snacks/Apple Sauce & Fruit Cups|1013695|2115|Apple Sauce & Fruit Cups|1013386|229|Snacks|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013016/1013317/1013708|/3/68/764|/Baby/Diapering/Training Pants|1013708|764|Training Pants|1013317|68|Diapering|1013016|3|Baby|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013045/1013715|/12/210/1898|/Food & Grocery/Cleaning Supplies/Trash Bags|1013715|1898|Trash Bags|1013045|210|Cleaning Supplies|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013207/1013833|/12/221/2034|/Food & Grocery/Laundry Care/Bleach|1013833|2034|Bleach|1013207|221|Laundry Care|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013368/1013848|/15/274/2390|/Home Services/Heating & Cooling Systems/Air Ducts|1013848|2390|Air Ducts|1013368|274|Heating & Cooling Systems|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1215165014/1013850|/16/434010/2612|/Jewelry/Coin Jewelry/Sterling Silver Coin Jewelry|1013850|2612|Sterling Silver Coin Jewelry|1215165014|434010|Coin Jewelry|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013244/1013852|/22/354/3140|/Tools/Garage Organization & Shelving/Garage Storage Separates|1013852|3140|Garage Storage Separates|1013244|354|Garage Organization & Shelving|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013006/1013355/1013853|/17/311/2726|/Lawn & Garden/Outdoor Tools & Supplies/Miscellaneous Supplies|1013853|2726|Miscellaneous Supplies|1013355|311|Outdoor Tools & Supplies|1013006|17|Lawn & Garden|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013857|/12/217/1967|/Food & Grocery/General Grocery/Canned Meat|1013857|1967|Canned Meat|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013386/1013859|/12/229/2118|/Food & Grocery/Snacks/Cookies|1013859|2118|Cookies|1013386|229|Snacks|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013008/1013114/1013866|/1/46/628|/Appliances/Washers & Dryers/Stacked Laundry Units|1013866|628|Stacked Laundry Units|1013114|46|Washers & Dryers|1013008|1|Appliances|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013017/1203494259/1013799|/2/296110/679|/Automotive/Interior Accessories/Universal Fit Seat Covers|1013799|679|Universal Fit Seat Covers|1203494259|296110|Interior Accessories|1013017|2|Automotive|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013341/1013804|/15/273/2389|/Home Services/Garage/Garage Doors|1013804|2389|Garage Doors|1013341|273|Garage|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013291/1013809|/12/216/1949|/Food & Grocery/Frozen Foods/Breakfast Foods|1013809|1949|Breakfast Foods|1013291|216|Frozen Foods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013178/1013811|/12/226/2085|/Food & Grocery/Prepared Foods/Mexican|1013811|2085|Mexican|1013178|226|Prepared Foods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013401/1013815|/23/382/3443|/Toys & Games/Pools & Accessories/Pools|1013815|3443|Pools|1013401|382|Pools & Accessories|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013016/1013314/1013824|/3/64/727|/Baby/Baby Health & Safety/Baby Gates|1013824|727|Baby Gates|1013314|64|Baby Health & Safety|1013016|3|Baby|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013226/1013831|/12/205/1813|/Food & Grocery/Baking Supplies/Condensed Milk|1013831|1813|Condensed Milk|1013226|205|Baking Supplies|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013312/1013932|/15/270/2365|/Home Services/Appliances/Dishwashers|1013932|2365|Dishwashers|1013312|270|Appliances|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013300/1013938|/12/213/1933|/Food & Grocery/Deli/Hot Dogs & Sausages|1013938|1933|Hot Dogs & Sausages|1013300|213|Deli|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013167/1013941|/12/227/2105|/Food & Grocery/Produce/Pre-Cut Fruits|1013941|2105|Pre-Cut Fruits|1013167|227|Produce|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013337/1013954|/16/292/2555|/Jewelry/Jewelry Boxes & Jewelry Care/Childrens Jewelry Boxes|1013954|2555|Childrens Jewelry Boxes|1013337|292|Jewelry Boxes & Jewelry Care|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1012998/1013359/1013871|/8/127/1226|/Computers & Electronics/Batteries/General Purpose Batteries|1013871|1226|General Purpose Batteries|1013359|127|Batteries|1012998|8|Computers & Electronics|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013264/1013879|/12/212/1908|/Food & Grocery/Dairy/Creamers|1013879|1908|Creamers|1013264|212|Dairy|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013074/1013881|/12/224/2064|/Food & Grocery/Paper Goods/Bath Tissue|1013881|2064|Bath Tissue|1013074|224|Paper Goods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1013090/1013895|/16/298/2648|/Jewelry/Rings/Wedding Bands|1013895|2648|Wedding Bands|1013090|298|Rings|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013333/1013899|/12/206/1823|/Food & Grocery/Beverages/Beer|1013899|1823|Beer|1013333|206|Beverages|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1013902|/12/217/1987|/Food & Grocery/General Grocery/Pasta Sauce|1013902|1987|Pasta Sauce|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1012998/1013141/1013916|/8/129/1246|/Computers & Electronics/Cameras & Camcorders/Digital Picture Frames|1013916|1246|Digital Picture Frames|1013141|129|Cameras & Camcorders|1012998|8|Computers & Electronics|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013016/1013056/1013917|/3/63/725|/Baby/Baby Gear & Travel/Walkers & Jumpers|1013917|725|Walkers & Jumpers|1013056|63|Baby Gear & Travel|1013016|3|Baby|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013312/1013919|/15/270/2363|/Home Services/Appliances/Compactors|1013919|2363|Compactors|1013312|270|Appliances|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013264/1013923|/12/212/1927|/Food & Grocery/Dairy/Yogurt|1013923|1927|Yogurt|1013264|212|Dairy|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013024/1013929|/23/381/3428|/Toys & Games/Outdoor Play/Bubbles & Bubble Makers|1013929|3428|Bubbles & Bubble Makers|1013024|381|Outdoor Play|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013093/1013958|/12/208/1865|/Food & Grocery/Breakfast Foods/Cold Cereal|1013958|1865|Cold Cereal|1013093|208|Breakfast Foods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013416/1013960|/12/220/2024|/Food & Grocery/Gum & Candy/Hard Candy|1013960|2024|Hard Candy|1013416|220|Gum & Candy|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013212/1013966|/23/389/3478|/Toys & Games/Vehicles & Remote Control Toys/ATVs & Motorcycles|1013966|3478|ATVs & Motorcycles|1013212|389|Vehicles & Remote Control Toys|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013187/1013970|/22/351/3104|/Tools/Bench & Stationary Power Tools/Drill Presses|1013970|3104|Drill Presses|1013187|351|Bench & Stationary Power Tools|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013244/1013978|/22/354/3139|/Tools/Garage Organization & Shelving/Garage Storage Collections|1013978|3139|Garage Storage Collections|1013244|354|Garage Organization & Shelving|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013291/1013983|/12/216/1962|/Food & Grocery/Frozen Foods/Potatoes & Onion Rings|1013983|1962|Potatoes & Onion Rings|1013291|216|Frozen Foods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013178/1013985|/12/226/2089|/Food & Grocery/Prepared Foods/Salads|1013985|2089|Salads|1013178|226|Prepared Foods|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013401/1013989|/23/382/3445|/Toys & Games/Pools & Accessories/Winter Products|1013989|3445|Winter Products|1013401|382|Pools & Accessories|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013011/1214844963/1014001|/16/431110/2512|/Jewelry/Sets/Diamond Sets|1014001|2512|Diamond Sets|1214844963|431110|Sets|1013011|16|Jewelry|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013045/1014005|/12/210/1896|/Food & Grocery/Cleaning Supplies/Rubber Gloves & Sponges|1014005|1896|Rubber Gloves & Sponges|1013045|210|Cleaning Supplies|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013207/1014007|/12/221/2039|/Food & Grocery/Laundry Care/Fabric Dye|1014007|2039|Fabric Dye|1013207|221|Laundry Care|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013008/1013233/1014016|/1/42/592|/Appliances/Sewing & Garment Care/Ironing Boards|1014016|592|Ironing Boards|1013233|42|Sewing & Garment Care|1013008|1|Appliances|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013346/1014021|/22/349/3079|/Tools/Air Compressors & Air Tools/Impact Socket Accessories|1014021|3079|Impact Socket Accessories|1013346|349|Air Compressors & Air Tools|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013002/1013046/1014023|/15/279/2431|/Home Services/Lawn & Garden Equipment/Grills|1014023|2431|Grills|1013046|279|Lawn & Garden Equipment|1013002|15|Home Services|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013017/1206052921/1014024|/2/373810/695|/Automotive/Tires & Wheels/Car Tires|1014024|695|Car Tires|1206052921|373810|Tires & Wheels|1013017|2|Automotive|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013111/1014027|/22/359/3215|/Tools/Home Security & Safety/Padlocks|1014027|3215|Padlocks|1013111|359|Home Security & Safety|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013006/1013355/1014028|/17/311/2730|/Lawn & Garden/Outdoor Tools & Supplies/Wheelbarrows & Garden Carts|1014028|2730|Wheelbarrows & Garden Carts|1013355|311|Outdoor Tools & Supplies|1013006|17|Lawn & Garden|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013150/1014029|/12/204/1802|/Food & Grocery/Air Fresheners/Candles & Potpourri|1014029|1802|Candles & Potpourri|1013150|204|Air Fresheners|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013014/1013320/1014030|/22/365/3319|/Tools/Power Tool Accessories/Router Bits|1014030|3319|Router Bits|1013320|365|Power Tool Accessories|1013014|22|Tools|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013139/1014032|/12/217/1970|/Food & Grocery/General Grocery/Chili|1014032|1970|Chili|1013139|217|General Grocery|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013005/1013386/1014034|/12/229/2122|/Food & Grocery/Snacks/Dried Fruit|1014034|2122|Dried Fruit|1013386|229|Snacks|1013005|12|Food & Grocery|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013021/1013098/1014036|/23/375/3382|/Toys & Games/Arts & Crafts/Drawing & Coloring|1014036|3382|Drawing & Coloring|1013098|375|Arts & Crafts|1013021|23|Toys & Games|3
21101|SHC CatalogAssetStore|SHC CatalogAssetStore|/1013008/1013104/1014041|/1/50/641|/Appliances/Wine Cellars & Beverage Centers/Wine Cellars|1014041|641|Wine Cellars|1013104|50|Wine Cellars & Beverage Centers|1013008|1|Appliances|3
